name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Danilo,33,Brazil,Juventus,Defender - Right Back,184,78,,493,30,38952,,347,216,93,4,,0.0,93.95,50.0,,0.0,4,6,7.0,25,16
Danilo Oliveira,23,Brazil,Nottingham Forest,Midfielder - Defensive Midfield,177,,,187,17,12848,13,,,31,2,,,100.0,,,33.33,0,0,28.0,6,10
Dante Bonfim,41,Brazil,Nice,Defender - Centre Back,188,87,,556,21,48159,,540,209,129,9,,0.0,88.08,0.0,,40.0,18,10,0.5,14,30
Diego Carlos,31,Brazil,Aston Villa,Defender - Center Back,185,79,Right,356,13,29526,,361,120,93,7,,50.0,88.67,,,0.0,3,4,12.0,3,25
Dodo,26,Brazil,Fiorentina,Defender - Right Back,,,,242,8,19000,,211,86,40,3,,40.0,83.56,25.42,,52.38,11,16,17.0,6,1
Douglas Augusto,27,Brazil,Nantes,Midfielder - Central Midfield,173,71,,267,17,19863,10,,,88,5,851,66.67,87.96,50.0,851,66.67,19,7,6.0,3,8
Douglas Luiz,26,Brazil,Juventus,Midfielder - Central Midfield,177,66,Right,309,25,22769,27,,,78,3,,33.33,89.33,30.77,,66.67,3,1,55.0,4,17
Eder Militao,26,Brazil,Real Madrid,Defender - Centre Back,186,79,,304,24,24872,,232,128,54,3,118,40.0,89.72,0.0,940,62.5,18,10,60.0,8,11
Ederson,31,Brazil,Manchester City,Goalkeeper - Goalkeeper,188,86,Left,463,0,41155,,347,207,48,2,,,85.2,,1080,0.0,0,1,35.0,18,14
Emerson Royal,25,Brazil,AC Milan,Defender - Right Back,183,70,Right,248,11,18157,,228,73,51,3,,0.0,89.03,33.33,,57.14,16,5,18.0,2,11
Endrick,18,Brazil,Real Madrid,Midfielder,,,,42,9,1681,1,,,8,1,58,,,,,,,,60.0,,0
Felipe Rodrigues,23,Brazil,Benfica,Defender,192,88,Left,147,7,11211,,119,52,19,2,,0.0,90.54,,,100.0,3,3,,0,0
Gabriel Jesus,27,Brazil,Arsenal,Forward - Centre Forward,175,73,Right,444,149,27330,72,,,70,3,,50.0,75.0,0.0,,42.86,3,2,55.0,17,23
Gabriel Magalhaes,26,Brazil,Arsenal,Defender - Centre Back,190,78,Left,272,21,23029,,234,105,44,2,104,44.44,88.68,0.0,,100.0,6,6,75.0,4,14
Gabriel Martinelli,23,Brazil,Arsenal,Forward - Left Wing,178,75,Right,237,53,14624,28,,,16,1,228,63.64,77.9,25.0,343,53.85,9,1,60.0,5,14
Gabriel Strefezza,27,Brazil,Como,Forward - Right Wing,168,63,Right,246,39,16335,16,,,50,4,482,52.94,80.46,25.71,964,48.39,22,2,6.0,2,3
Gleison Bremer,27,Brazil,Juventus,Defender - Centre Back,188,80,,235,22,19848,,230,77,46,2,,0.0,93.17,,,75.0,14,5,60.0,0,4
Hernani,30,Brazil,Parma,Midfielder - Central Midfield,188,77,Right,299,34,19403,18,,,66,4,409,,,,409,,,,2.0,0,0
Igor Julio,26,Brazil,Brighton & Hove Albion,Defender - Centre Back,188,85,Left,260,2,19940,,267,67,58,4,,0.0,92.88,,,66.67,1,2,17.0,3,4
Ismaily Goncalves,34,Brazil,Lille,Defender - Left Back,177,82,Left,366,21,30459,,323,144,34,1,,100.0,90.0,0.0,,0.0,2,0,1.8,13,9
Jailson,29,Brazil,Celta de Vigo,Defender - Defensive Midfield,187,74,,221,8,13789,,143,89,29,3,,100.0,90.75,0.0,,75.0,7,7,1.5,7,4
Joao Gomes,23,Brazil,Wolverhampton Wanderers,Midfielder - Central Midfield,176,,,165,9,10742,5,,,49,1,512,40.0,83.33,25.0,1023,75.0,36,9,40.0,8,6
Joao Pedro,23,Brazil,Brighton & Hove Albion,Forward - Centre Forward,182,70,Right,193,59,12806,16,,,20,1,93,57.14,73.58,50.0,185,46.15,4,3,50.0,0,11
Joelinton,28,Brazil,Newcastle United,Midfielder - Attacking Midfield,186,81,Right,325,59,23518,28,,,74,2,499,40.0,84.2,11.11,,35.71,27,7,40.0,2,29
Johnny,23,Brazil,Real Betis,Forward - Defensive Midfield,,,,181,8,10291,9,,,23,0,,0.0,84.15,0.0,562,62.5,16,16,20.0,0,4
Jubal,31,Brazil,Auxerre,Defender - Centre Back,190,77,Right,306,21,26060,,336,91,69,3,84,57.14,86.62,,,0.0,15,7,2.0,4,3
Junior Messias,33,Brazil,Genoa,Forward - Right Wing,174,,Right,194,34,13929,12,,,21,1,288,57.14,79.17,0.0,,33.33,4,3,2.5,0,5
Kaua Santos,21,Brazil,Eintracht Frankfurt,Goalkeeper,,,,6,0,494,,8,1,0,0,,,,,,,,,,,0
Lucas Estella Perri,26,Brazil,Olympique Lyonnais,Goalkeeper - Goalkeeper,195,95,,150,0,13297,,144,52,8,1,,,69.78,,,0.0,0,0,6.0,6,0
Lucas Lopes Beraldo,21,Brazil,PSG,Defender,182,75,,86,4,6983,,69,35,23,2,126,66.67,92.83,50.0,,0.0,15,8,30.0,1,4
Lucas Paqueta,27,Brazil,West Ham United,Midfielder - Attacking Midfield,180,72,Left,324,58,23021,39,,,75,3,453,36.36,78.1,15.38,,50.0,15,5,55.0,3,18
Lucas Rosa,24,Brazil,Real Valladolid,Defender - Right Back,177,68,Right,104,1,5937,,94,35,19,0,,50.0,76.52,16.0,,38.89,36,17,2.0,1,5
Lucas Silva Melo,25,Brazil,Eintracht Frankfurt,Defender - Centre Back,185,,,184,10,15223,,228,37,38,5,63,75.0,90.82,,880,85.71,22,18,,1,12
Luis Guilherme,18,Brazil,West Ham United,Forward,175,,,10,1,257,0,,,0,0,,,,,,,,,24.0,,0
Luis Henrique Tomaz de Lima,22,Brazil,Olympique Marseille,Forward - Left Wing,181,78,,164,14,7352,14,,,2,0,173,62.5,82.5,25.0,217,52.63,2,3,12.0,0,1
Marcao Teixeira,28,Brazil,Sevilla FC,Defender - Centre Back,185,80,,250,6,20232,,261,79,81,9,,,88.49,,,0.0,9,6,4.0,3,14
Marcos Andre,28,Brazil,Real Valladolid,Forward - Centre Forward,185,78,,240,50,13294,10,,,37,2,,0.0,70.21,,,60.0,0,1,1.5,0,12
Marquinhos,30,Brazil,PSG,Defender - Centre Back,183,75,,515,42,42511,,354,232,49,2,,0.0,94.77,100.0,,100.0,12,3,50.0,32,29
Matheus Cunha,25,Brazil,Wolverhampton Wanderers,Forward - Centre Forward,184,75,Right,262,70,15393,32,,,43,0,140,50.0,79.68,26.09,326,54.55,13,6,45.0,1,18
Murillo Santiago,22,Brazil,Nottingham Forest,Midfielder,,,,55,1,4875,2,,,10,0,1080,,,,,,,,40.0,,0
Natan Bernardo,23,Brazil,Real Betis,Defender - Centre Back,,,,159,6,12606,,162,40,29,4,,50.0,89.16,,,0.0,9,11,12.0,4,6
Norberto Neto,35,Brazil,Arsenal,Goalkeeper - Goalkeeper,190,84,Right,291,0,26075,,308,91,25,0,,,57.69,,,0.0,0,0,2.5,12,7
Rafael Toloi,34,Brazil,Atalanta,Defender - Centre Back,185,75,Right,383,16,30460,,379,128,102,6,,0.0,93.33,,,0.0,1,0,2.5,4,10
Raphinha,28,Brazil,FC Barcelona,Forward - Right Wing,176,58,Left,354,95,24202,64,,,61,1,147,57.14,77.78,26.67,195,52.94,17,3,60.0,4,17
Richarlison,27,Brazil,Tottenham Hotspur,Forward - Centre Forward,184,71,Right,374,110,26478,33,,,57,3,,0.0,75.86,0.0,87,33.33,1,0,35.0,4,41
Robert Kenedy Nunes do Nascimento,28,Brazil,Real Valladolid,Forward - Left Wing,182,77,Left,236,22,10878,22,,,20,0,,0.0,50.0,,,0.0,0,0,1.0,2,18
Rodrigo Muniz,23,Brazil,Fulham,Forward - Centre Forward,185,67,Right,117,28,5134,3,,,7,0,341,46.15,72.97,,341,40.0,0,1,20.0,7,2
Rodrygo,23,Brazil,Real Madrid,Forward - Right Wing,174,63,,328,78,19711,48,,,20,1,222,66.67,90.14,25.0,667,58.33,5,1,110.0,6,10
Samuel Lino,24,Brazil,Atlético Madrid,Forward - Left Wing,178,66,,215,44,13879,16,,,20,0,,50.0,82.31,40.0,646,50.0,10,4,30.0,0,3
Savio,20,Brazil,Manchester City,Forward,176,66,Left,117,17,6458,21,,,14,0,,45.45,85.96,26.19,303,63.64,13,0,50.0,7,7
Vanderson de Oliveira,23,Brazil,Monaco,Defender,180,74,,149,11,10855,,139,39,33,4,167,80.0,80.23,21.43,669,25.0,24,14,20.0,1,11
Vinicius Junior,24,Brazil,Real Madrid,Forward - Left Wing,176,73,,366,114,23994,72,,,70,2,134,44.0,79.08,16.67,215,43.06,11,0,200.0,8,15
Vitor Roque,19,Brazil,Real Betis,Forward - Centre Forward,172,,,135,43,7409,12,,,21,1,229,70.0,75.31,0.0,,50.0,2,3,30.0,0,7
Yan Couto,22,Brazil,Borussia Dortmund,Defender - Right Back,168,60,Right,152,6,9680,,101,53,24,1,,100.0,80.23,26.67,,40.0,5,3,25.0,1,9
Edmond Tapsoba,25,Burkina Faso,Bayer Leverkusen,Defender - Centre Back,192,80,,287,24,23922,,300,86,45,1,,14.29,85.93,33.33,,44.44,22,8,45.0,0,5
Allan Nyom,36,Cameroon,Getafe CF,Defender - Right Back,188,78,Right,490,9,39094,,487,154,142,5,144,40.0,83.48,28.57,287,20.0,4,2,0.5,1,23
Andre Frank Zambo Anguissa,29,Cameroon,Napoli,Midfielder - Central Midfield,184,74,Right,386,11,27905,19,,,47,2,1080,28.57,87.46,20.0,1080,69.23,19,18,27.0,1,9
Bryan Mbeumo,25,Cameroon,Brentford,Forward,173,64,Left,258,67,18962,42,,,25,0,135,,,,1077,,,,40.0,,0
Carlos Baleba,20,Cameroon,Brighton & Hove Albion,Midfielder,179,75,,71,2,3008,2,,,15,2,677,,,,677,,,,22.0,,0
Christopher Wooh,23,Cameroon,Rennes,Defender - Centre Back,191,85,Right,100,8,7466,,95,26,24,2,,50.0,88.24,,,75.0,24,11,6.0,0,11
Enzo Ebosse,25,Cameroon,Udinese U20,Defender - Centre Back,185,74,Left,142,0,10052,,148,24,15,1,,,76.0,,,0.0,0,0,2.5,0,5
Faris Pemi Moumbagna,24,Cameroon,Olympique Marseille,Forward,183,77,,180,51,10360,13,,,29,5,,,,,,0.0,0,0,10.0,0,4
Ignatius Ganago,25,Cameroon,Nantes,Forward - Centre Forward,176,78,Right,188,31,8497,5,,,6,0,,0.0,79.07,50.0,,42.86,1,2,2.0,0,14
Jean Charles Castelletto,29,Cameroon,Nantes,Defender - Centre Back,186,76,Right,354,14,29858,,405,98,63,5,,50.0,90.72,0.0,,0.0,10,5,3.5,1,20
Mahamadou Nagida,19,Cameroon,Rennes,Defender,,,,18,1,770,,10,5,2,0,,100.0,95.65,16.67,,100.0,1,2,0.5,0,2
Sacha Boey,24,Cameroon,Bayern München,Defender - Right Back,178,70,Right,140,6,11283,,136,41,28,2,,,90.14,0.0,129,50.0,3,0,18.0,1,12
Alphonso Davies,24,Canada,Bayern München,Defender - Left Back,185,72,Left,337,33,23868,,294,106,26,2,,25.0,90.99,9.09,826,48.39,16,6,50.0,12,14
Cyle Larin,29,Canada,RCD Mallorca,Forward - Centre Forward,188,90,Right,351,126,23155,31,,,38,3,650,37.5,72.03,0.0,325,20.0,4,1,4.0,4,5
Derek Cornelius,27,Canada,Olympique Marseille,Forward - Center Back,187,86,Both,179,10,14753,2,,,41,2,,,94.02,50.0,,50.0,8,3,4.0,1,2
Jonathan David,24,Canada,Lille,Forward - Centre Forward,177,70,Right,321,157,23591,41,,,27,0,130,68.42,80.72,,,72.73,8,2,45.0,2,2
Moise Bombito,24,Canada,Nice,Defender,190,,Right,51,2,4062,,71,10,16,2,,,,,,,,,7.0,,0
Thelonius Bair,25,Canada,Auxerre,Forward - Centre Forward,191,96,,151,24,6687,11,,,4,0,326,83.33,70.89,0.0,,0.0,2,0,,1,0
Guillermo Maripan,30,Chile,Torino,Defender - Centre Back,190,84,Right,291,18,23784,,301,83,61,5,,50.0,90.56,,,0.0,7,6,6.0,4,19
Andres Gomez,,Colombia,Colombia U23,Midfielder,,,,12,2,787,3,,,4,0,,,,,,,,,,1,1
Daniel Andres Luna,21,Colombia,RCD Mallorca,Midfielder,178,61,,81,8,3032,2,,,6,1,,,77.78,0.0,,50.0,0,0,,0,2
Daniel Fernando Mosquera Bonilla,25,Colombia,Hellas Verona,Forward,,,,108,26,5308,2,,,15,0,137,50.0,68.97,0.0,410,54.55,4,0,,0,0
Daniel Munoz,28,Colombia,Crystal Palace,Defender - Right Back,181,69,,312,33,26453,,328,79,86,4,,57.14,74.93,22.73,997,38.89,38,12,23.0,1,3
Deiver Machado,31,Colombia,Lens,Defender - Left Back,180,70,Left,298,14,22503,,237,112,58,3,,50.0,83.64,35.29,,60.0,11,2,4.0,3,13
Devis Vasquez,26,Colombia,Empoli,Goalkeeper,193,82,,65,0,5776,,76,15,5,0,,,51.8,,,100.0,0,0,2.5,0,0
Duvan Zapata,33,Colombia,Torino,Forward - Centre Forward,186,80,,408,146,26943,55,,,32,0,196,62.5,69.42,100.0,,12.5,7,2,5.0,3,0
Jefferson Lerma,30,Colombia,Crystal Palace,Midfielder - Defensive Midfield,179,70,Right,427,25,33460,12,,,144,7,,0.0,79.32,50.0,,0.0,4,7,18.0,1,33
Jhon Duran,20,Colombia,Aston Villa,Forward - Striker,185,73,,146,34,6193,7,,,42,2,75,46.15,70.67,0.0,,30.0,5,0,35.0,0,4
Jhon Lucumi,26,Colombia,Bologna,Defender - Center Back,187,84,Left,260,3,21624,,292,71,38,2,,0.0,92.87,0.0,664,0.0,8,4,17.0,4,4
Jhon Solis,20,Colombia,Girona FC,Forward - Central Midfield,189,80,,68,0,3281,4,,,11,1,,,91.67,50.0,,75.0,4,4,4.0,0,3
Johan Mojica,32,Colombia,RCD Mallorca,Defender - Left Back,185,66,Left,345,14,24034,,302,106,53,4,125,0.0,81.72,34.0,997,50.0,14,10,2.2,1,15
Juan Cuadrado,36,Colombia,Atalanta,Midfielder - Right Midfield,179,72,,555,59,38225,94,,,139,8,,25.0,88.46,0.0,162,60.0,1,0,1.0,13,2
Juan David Cabal,23,Colombia,Juventus,Defender - Centre Back,,,,89,1,6153,,75,24,23,2,,0.0,87.54,60.0,,66.67,9,2,9.0,0,6
Luis Sinisterra,25,Colombia,AFC Bournemouth,Forward - Left Wing,172,60,Right,226,54,13874,34,,,21,1,204,66.67,82.54,20.0,204,50.0,4,0,17.0,1,18
Yaser Esneider Asprilla Martinez,21,Colombia,Girona FC,Midfielder - Attacking Midfield,182,77,,140,16,8282,13,,,18,1,399,25.0,79.88,35.0,,30.77,8,3,18.0,0,1
Yerry Mina,30,Colombia,Cagliari,Defender - Centre Back,195,94,Right,289,35,22291,,279,92,63,4,,28.57,86.82,100.0,,66.67,18,8,3.0,9,29
Yerson Mosquera,23,Colombia,FC Cincinnati,Midfielder,,,,10,0,797,0,,,3,0,,,,,,,,,,0,5
Cedric Bakambu,33,Congo DR,Real Betis,Forward - Centre Forward,182,73,Right,427,169,26270,30,,,56,2,,75.0,61.54,0.0,248,0.0,1,0,2.5,2,10
Silla Wamangituka,25,Congo DR,Red Star Belgrade,Forward - Right Wing,189,84,,192,51,11055,18,,,17,1,104,66.67,88.37,50.0,313,50.0,3,1,,0,11
Yoane Wissa,28,Congo DR,Brentford,Forward - Left Wing,176,75,Right,331,94,20776,24,,,38,2,107,64.29,81.75,0.0,640,50.0,2,3,28.0,1,5
Cristian Gamboa,35,Costa Rica,Bochum,Defender - Right Back,175,67,Right,272,4,20247,,275,73,49,3,28,33.33,67.86,33.33,,0.0,1,0,0.5,11,8
Andrej Kramaric,33,Croatia,Hoffenheim,Forward - Centre Forward,177,73,Right,454,204,32058,56,,,31,1,174,46.67,84.75,15.62,871,50.0,3,2,5.0,5,20
Ante Budimir,33,Croatia,CA Osasuna,Forward - Centre Forward,190,75,Left,377,121,24564,14,,,66,1,128,38.46,60.81,0.0,1020,35.71,7,1,5.0,0,12
Ante Rebic,31,Croatia,Lecce,Forward - Left Wing,185,77,Right,324,60,17369,32,,,81,8,,20.0,68.63,38.1,,20.0,5,0,2.0,3,7
Borna Sosa,26,Croatia,Torino,Defender - Left Back,187,,,228,7,16940,,231,61,35,5,,50.0,89.47,15.38,,0.0,4,4,7.5,8,15
Dinko Horkas,25,Croatia,UD Las Palmas,Goalkeeper - Goalkeeper,194,,,123,0,10970,,122,45,8,0,,,84.09,,,0.0,0,0,,5,0
Domagoj Bradaric,24,Croatia,Hellas Verona,Defender - Left Back,178,69,,209,3,14469,,209,57,36,1,,100.0,85.16,42.86,,40.0,7,2,4.0,2,7
Duje Caleta Car,28,Croatia,Olympique Lyonnais,Defender - Center Back,192,88,Right,369,17,31246,,363,122,87,6,69,25.0,89.29,,,0.0,11,11,7.0,7,16
Jakov Medic,26,Croatia,Bochum,Defender - Centre Back,191,,,152,15,12382,,174,48,23,0,,0.0,86.64,,,0.0,4,8,2.0,0,0
Josko Gvardiol,22,Croatia,Manchester City,Defender - Centre Back,185,77,,251,21,19815,,220,86,24,1,69,63.64,93.13,16.67,,50.0,20,15,75.0,10,9
Kristijan Jakic,27,Croatia,Augsburg,Midfielder - Defensive Midfield,184,,,263,11,17926,5,,,58,2,,60.0,81.49,20.0,,50.0,15,9,6.5,3,12
Lovro Majer,26,Croatia,Wolfsburg,Midfielder - Attacking Midfield,178,75,Both,300,52,18693,30,,,39,2,73,66.67,70.73,0.0,,100.0,0,0,20.0,4,7
Luka Modric,39,Croatia,Real Madrid,Midfielder - Central Midfield,172,66,Both,764,70,56143,110,,,101,2,,50.0,90.78,45.71,300,75.0,4,7,6.0,31,33
Luka Sucic,22,Croatia,Real Sociedad,Midfielder - Attacking Midfield,,,,191,30,12386,29,,,15,0,799,41.67,86.45,25.0,799,45.45,13,5,15.0,6,1
Marco Komenda,28,Croatia,Holstein Kiel,Midfielder - Center Back,184,76,Left,192,6,14441,2,,,34,1,,0.0,74.49,66.67,,0.0,6,0,0.9,0,0
Marin Sverko,26,Croatia,Venezia,Defender - Centre Back,187,81,Left,194,6,13237,,187,51,44,2,,0.0,85.85,0.0,,50.0,5,8,1.2,0,5
Mario Pasalic,29,Croatia,Atalanta,Midfielder - Attacking Midfield,188,78,Both,465,91,26754,36,,,49,0,394,33.33,89.85,0.0,788,0.0,8,2,13.0,3,3
Martin Erlic,26,Croatia,Bologna,Defender - Centre Back,192,78,Right,195,8,15162,,200,57,27,1,,0.0,92.07,,,0.0,3,1,5.0,0,8
Mateo Kovacic,30,Croatia,Manchester City,Midfielder - Central Midfield,177,78,Right,577,27,35374,36,,,86,3,294,50.0,93.88,,,63.16,22,4,30.0,21,39
Mirko Maric,29,Croatia,Monza,Forward - Centre Forward,188,80,,330,98,20412,9,,,22,2,,,62.96,,,0.0,0,1,0.8,1,2
Nediljko Labrovic,25,Croatia,Augsburg,Goalkeeper - Goalkeeper,194,88,,190,0,17019,,198,65,6,0,,,64.1,,,0.0,0,0,4.5,0,0
Nikola Moro,26,Croatia,Bologna,Midfielder - Defensive Midfield,183,77,Right,303,31,21042,18,,,42,4,,20.0,83.33,26.67,566,60.0,14,4,5.0,9,0
Nikola Vlasic,27,Croatia,Torino,Midfielder - Attacking Midfield,178,72,Right,402,72,29464,41,,,24,1,457,28.57,81.15,0.0,229,50.0,12,3,10.0,0,6
Stanko Juric,28,Croatia,Real Valladolid,Midfielder - Defensive Midfield,189,83,,265,15,17780,8,,,58,3,,0.0,82.96,,,100.0,20,9,2.2,1,2
Grigoris Kastanos,26,Cyprus,Hellas Verona,Midfielder - Central Midfield,176,71,Left,250,19,14924,11,,,52,3,431,40.0,70.09,0.0,431,0.0,9,5,1.8,5,3
Alex Kral,26,Czech Republic,RCD Espanyol,Midfielder - Defensive Midfield,186,72,,248,5,18077,8,,,20,0,,0.0,78.22,16.67,,59.09,28,10,6.0,2,3
Antonin Barak,29,Czech Republic,Kasımpaşa,Midfielder - Attacking Midfield,190,86,Left,323,59,20442,16,,,42,2,,50.0,84.75,14.29,,33.33,1,2,3.9,1,0
David Jurasek,24,Czech Republic,Hoffenheim,Defender - Left Back,183,77,,128,7,8073,,88,38,14,0,,0.0,68.52,8.33,,0.0,2,0,8.0,3,1
Ladislav Krejci,25,Czech Republic,Girona FC,Midfielder - Defensive Midfield,175,70,,219,51,17404,10,,,78,7,549,66.67,88.54,20.0,,0.0,6,8,10.0,6,4
Matej Kovar,24,Czech Republic,Bayer Leverkusen,Goalkeeper - Goalkeeper,196,77,Right,155,0,13895,,200,47,6,0,,,95.83,,,0.0,0,0,7.0,3,0
Patrik Schick,28,Czech Republic,Bayer Leverkusen,Forward - Centre Forward,191,73,Left,320,115,18305,16,,,26,1,217,37.5,75.0,,,28.57,2,0,22.0,4,13
Robin Hranac,24,Czech Republic,Hoffenheim,Defender,,,,134,5,11363,,134,45,14,4,,,72.34,,,0.0,0,2,8.0,0,0
Tomas Cvancara,24,Czech Republic,Borussia M'gladbach,Forward - Centre Forward,190,79,,149,51,7747,6,,,39,2,192,50.0,80.0,25.0,,75.0,1,0,6.5,1,8
Tomas Soucek,29,Czech Republic,West Ham United,Midfielder - Defensive Midfield,192,86,Right,436,77,36406,14,,,74,1,248,30.77,80.72,0.0,,0.0,13,8,30.0,4,4
Vitezslav Jaros,23,Czech Republic,Liverpool,Goalkeeper - Goalkeeper,,,,132,0,11705,,147,39,5,0,,,66.67,,,0.0,0,0,5.0,7,0
Vladimir Coufal,32,Czech Republic,West Ham United,Defender - Right Back,174,76,Right,427,14,35658,,436,150,62,3,,0.0,76.32,16.67,,0.0,0,2,8.0,5,20
Albert Gronbaek,23,Denmark,Rennes,Midfielder - Central Midfield,176,65,Both,185,39,12536,20,,,21,1,644,77.78,68.87,17.39,644,36.0,12,2,15.0,1,0
Andreas Christensen,28,Denmark,FC Barcelona,Defender - Centre Back,187,78,Right,385,15,30682,,351,147,32,1,,,87.5,,,0.0,1,0,30.0,13,33
Casper Tengstedt,24,Denmark,Hellas Verona,Midfielder - Left Wing,,,,122,53,7005,19,,,12,0,191,50.0,65.93,14.29,,42.86,2,3,5.0,2,0
Christian Eriksen,32,Denmark,Manchester United,Midfielder - Central Midfield,182,71,Both,641,127,47112,152,,,36,0,,,90.08,32.43,,0.0,7,2,8.0,10,18
Christian Gytkjaer,34,Denmark,Venezia,Forward - Centre Forward,185,77,Right,410,171,26694,15,,,24,1,,25.0,56.52,,,100.0,1,0,0.7,3,0
Christian Norgaard,30,Denmark,Brentford,Midfielder - Defensive Midfield,187,76,Right,348,19,25921,14,,,70,1,819,44.44,81.79,100.0,819,50.0,22,12,18.0,1,19
Frederik Ronnow,32,Denmark,Union Berlin,Goalkeeper - Goalkeeper,188,77,Right,295,0,26276,,338,85,19,2,,,66.19,,,0.0,0,0,4.5,1,9
Gustav Isaksen,23,Denmark,Lazio,Forward - Right Wing,178,68,Both,212,44,11642,18,,,23,1,673,22.22,86.14,21.05,337,42.86,5,2,12.0,3,1
Henrik Wendel Meister,21,Denmark,Rennes,Forward,,,,25,10,1464,0,,,4,0,59,,,,,,,,,,0
Jacob Bruun Larsen,26,Denmark,Hoffenheim,Forward - Left Wing,183,75,Left,265,61,13147,23,,,5,0,119,75.0,82.86,14.29,60,25.0,1,1,6.0,3,7
Jannik Vestergaard,32,Denmark,Leicester City,Defender - Centre Back,199,98,Left,395,23,31931,,490,90,54,1,,,89.73,,,0.0,5,2,3.0,1,17
Jens Stage,28,Denmark,Werder Bremen,Midfielder - Central Midfield,187,83,,268,41,18984,14,,,48,1,140,71.43,78.8,66.67,,25.0,7,9,9.0,2,10
Jesper Lindstrom,24,Denmark,Everton,Midfielder - Attacking Midfield,182,,,195,30,10876,23,,,16,1,,60.0,76.7,31.03,,16.67,12,2,22.0,2,9
Joachim Andersen,28,Denmark,Fulham,Defender - Center Back,192,90,Right,353,10,29666,,405,101,64,5,,,,,,,,,35.0,0,9
Joakim Maehle,27,Denmark,Wolfsburg,Defender - Left Back,185,77,,321,23,23893,33,,,31,1,302,75.0,78.5,0.0,302,66.67,1,2,14.0,2,7
Jonas Wind,25,Denmark,Wolfsburg,Forward - Centre Forward,190,,,230,80,15533,34,,,21,1,160,83.33,72.0,0.0,480,75.0,1,1,15.0,1,4
Mads Hermansen,24,Denmark,Leicester City,Goalkeeper - Goalkeeper,187,78,,128,0,11520,,151,29,3,0,,,63.11,,,0.0,1,0,9.0,3,0
Mads Pedersen,28,Denmark,Augsburg,Defender - Left Back,178,,,210,7,14586,,242,41,47,2,,0.0,76.79,20.0,,28.57,6,2,2.5,0,17
Mads Roerslev,25,Denmark,Brentford,Defender - Right Back,184,77,Right,163,2,9622,,132,47,9,0,,0.0,81.82,15.38,443,44.44,5,1,10.0,2,6
Martin Frese,26,Denmark,Hellas Verona,Midfielder - Left Wing,,,,134,13,9604,11,,,28,0,,,70.16,0.0,,0.0,11,5,2.0,0,5
Mathias Jensen,23,Denmark,Sparta Praha,Defender - Center Back,190,,Right,140,9,9853,,130,40,34,1,,,82.82,50.0,,100.0,4,9,,0,3
Mikkel Damsgaard,24,Denmark,Brentford,Forward - Left Wing,180,66,Right,243,22,14666,31,,,19,1,866,57.14,76.32,33.33,289,55.0,28,12,10.0,0,5
Mikkel Kaufmann,23,Denmark,Heidenheim,Forward - Centre Forward,189,,,162,23,6484,9,,,24,1,,100.0,55.26,0.0,,0.0,3,0,2.0,0,2
Mohammed Daramy,22,Denmark,Reims,Forward - Left Wing,,,,191,33,10850,28,,,11,0,,,100.0,,,0.0,0,0,10.0,4,1
Morten Frendrup,23,Denmark,Genoa,Midfielder - Central Midfield,180,71,Right,196,7,14889,8,,,33,2,1037,42.86,85.37,,,37.5,33,16,20.0,2,5
Oscar Winther Hojlund,19,Denmark,Eintracht Frankfurt,Forward,,,,26,0,984,1,,,3,0,,,,,,,,,,,0
Patrick Dorgu,20,Denmark,Lecce,Defender,,,,45,5,2684,,38,11,9,1,54,,,,,,,,12.0,,0
Philip Billing,28,Denmark,AFC Bournemouth,Midfielder - Central Midfield,193,83,Left,295,38,19979,21,,,58,2,,,50.0,33.33,,0.0,1,1,18.0,0,24
Pierre Emile Hojbjerg,29,Denmark,Olympique Marseille,Midfielder - Central Midfield,185,84,Right,505,36,37014,34,,,85,3,538,37.5,93.38,0.0,,16.67,29,18,20.0,8,9
Rasmus Hojlund,21,Denmark,Manchester United,Forward - Centre Forward,191,,,157,45,8962,7,,,11,0,440,60.0,83.1,50.0,,41.67,1,0,65.0,1,6
Rasmus Kristensen,27,Denmark,Eintracht Frankfurt,Defender - Right Back,187,70,Right,316,33,24879,,332,98,33,2,,,78.87,33.33,,42.86,21,3,10.0,10,8
Robert Skov,28,Denmark,Union Berlin,Midfielder - Right Midfield,185,76,Both,325,84,21747,33,,,26,1,,,79.07,22.22,151,100.0,2,0,3.0,2,13
Thomas Kristensen,22,Denmark,Udinese,Defender,,,,73,2,5630,,67,21,12,1,,,85.29,,,0.0,2,0,4.5,0,6
Victor Kristansen,21,Denmark,Leicester City,Defender - Left Back,181,76,,141,1,10403,,127,45,22,0,,,80.26,44.44,,37.5,30,10,15.0,1,3
Yussuf Poulsen,30,Denmark,RB Leipzig,Forward - Centre Forward,192,84,,460,101,27135,53,,,45,2,,,54.55,0.0,,33.33,5,0,6.0,3,22
Jeremy Sarmiento,22,Ecuador,Burnley,Forward,178,72,Right,91,9,3016,3,,,8,0,,,,,,,,,7.0,,0
Jhoanner Stalin Chavez Quintero,22,Ecuador,Lens,Defender,,,,127,9,7578,,80,47,27,1,115,100.0,76.47,30.0,,42.86,6,6,4.0,1,3
